n4ZxEznNaIY	videos	How Anthropic uses Claude in GTM Engineering	https://www.youtube.com/watch?v=n4ZxEznNaIY
rjSvJYrVY2k	videos	The Problem Solvers | Anton Osika at Lovable	https://www.youtube.com/watch?v=rjSvJYrVY2k
8N1-XHNupfg	videos	Team thinking, visualized by Claude	https://www.youtube.com/watch?v=8N1-XHNupfg
bjrmYsFae_g	videos	The Problem Solvers | Max Junestrand at Legora	https://www.youtube.com/watch?v=bjrmYsFae_g
CG7Rcl49C2w	videos	Before we ship a Claude model, these teams try to break it.	https://www.youtube.com/watch?v=CG7Rcl49C2w
5HVPeux24WU	videos	Embrace long-running tasks with Opus 4.8 and Claude Code	https://www.youtube.com/watch?v=5HVPeux24WU
kUQD5ZElyB4	videos	The Problem Solvers: Michele Catasta at Replit	https://www.youtube.com/watch?v=kUQD5ZElyB4
19HDQ9HppOA	videos	Ship your first Managed Agent	https://www.youtube.com/watch?v=19HDQ9HppOA
mWvtOHlZM-I	videos	Tool, skill, or subagent? Decomposing an agent that outgrew its prompt	https://www.youtube.com/watch?v=mWvtOHlZM-I
dxqX_6ciVQA	videos	Agent Battle: Mine the most diamonds in 45 minutes	https://www.youtube.com/watch?v=dxqX_6ciVQA
v9FTCvkV_a0	videos	Evals for taste: Hill-climbing a slide-generation agent	https://www.youtube.com/watch?v=v9FTCvkV_a0
geUv4CjPpxI	videos	Agents that remember	https://www.youtube.com/watch?v=geUv4CjPpxI
IlqJqcl8ONE	videos	How we Claude Code	https://www.youtube.com/watch?v=IlqJqcl8ONE
qOjleN2-50c	videos	Making agentic workflows trustworthy and verifiable with a custom DSL	https://www.youtube.com/watch?v=qOjleN2-50c
MyYe6C4NVu0	videos	The Problem Solvers: Kay Zhu at Genspark	https://www.youtube.com/watch?v=MyYe6C4NVu0
tUoO4ucrNc0	videos	Fighting financial crime with Claude Cowork	https://www.youtube.com/watch?v=tUoO4ucrNc0
T8N0MED3IJo	videos	Where code meets court: AI at the legal-technical frontier	https://www.youtube.com/watch?v=T8N0MED3IJo
M5uwBawBDpw	videos	How AirOps chases friction to build AI products with Claude	https://www.youtube.com/watch?v=M5uwBawBDpw
A3rmSUp6Dxg	videos	How Metaview built self-improving prompts for application review	https://www.youtube.com/watch?v=A3rmSUp6Dxg
uGroRwlC9y4	videos	Teaching agents to learn from your team	https://www.youtube.com/watch?v=uGroRwlC9y4
tuY2ChJIx48	videos	Beyond the basics with Claude Code	https://www.youtube.com/watch?v=tuY2ChJIx48
IA5LWIGqnyM	videos	Running an AI-native engineering org	https://www.youtube.com/watch?v=IA5LWIGqnyM
QIriO1-vHYw	videos	Getting more out of the Claude Platform	https://www.youtube.com/watch?v=QIriO1-vHYw
G2B0YWuJUgI	videos	The prompting playbook	https://www.youtube.com/watch?v=G2B0YWuJUgI
